,Date,Price,Open,High,Low,Vol.,Change %
0,30-Nov-90,29.2,32.05,32.45,29.05,4.00K,-9.85%
1,3-Dec-90,29.72,29,30.35,28.5,15.48K,1.78%
2,4-Dec-90,30.7,29.6,30.7,29.5,11.83K,3.30%
3,5-Dec-90,27.33,29.6,30.3,27.3,23.48K,-10.98%
4,6-Dec-90,26.8,27.3,28,25.45,24.73K,-1.94%
5,7-Dec-90,27.18,26.55,27.5,26.55,10.62K,1.42%
6,10-Dec-90,27.73,27.55,28.3,27.4,9.17K,2.02%
7,11-Dec-90,27.02,27.75,27.9,26.45,12.94K,-2.56%
8,12-Dec-90,25.91,27.1,27.1,25.8,12.61K,-4.11%
9,13-Dec-90,27.39,25.55,27.4,25.5,12.91K,5.71%
10,14-Dec-90,27.7,27.6,28.25,27.2,8.46K,1.13%
11,17-Dec-90,25.67,26,26.65,25.55,8.58K,-7.33%
12,18-Dec-90,26.08,26.15,26.3,25.65,7.62K,1.60%
13,19-Dec-90,26.51,26.35,26.7,26.15,8.36K,1.65%
14,20-Dec-90,26.08,26.3,26.5,25.8,10.70K,-1.62%
15,21-Dec-90,25.78,25.9,26.15,25.45,8.62K,-1.15%
16,24-Dec-90,26.77,26.5,26.8,26.4,2.05K,3.84%
17,27-Dec-90,26.49,26.5,26.8,26.3,5.73K,-1.05%
18,28-Dec-90,27.04,26.5,27.1,26.45,7.05K,2.08%
19,31-Dec-90,28.27,27.35,28.35,27.35,4.66K,4.55%
20,2-Jan-91,26.44,28.1,28.1,26,11.17K,-6.47%
21,3-Jan-91,24.89,26.5,26.6,24.6,21.19K,-5.86%
22,4-Jan-91,23.56,25.3,25.45,23.3,18.03K,-5.34%
23,7-Jan-91,26.79,25.7,26.85,24.9,20.29K,13.71%
24,8-Jan-91,26.24,26.7,26.85,25.5,13.46K,-2.05%
25,9-Jan-91,26.15,26.7,28,22.05,30.17K,-0.34%
26,10-Jan-91,26.25,27,27,25.9,15.09K,0.38%
27,11-Jan-91,25.67,25.51,26.35,25.25,11.79K,-2.21%
28,14-Jan-91,29.17,28.6,31.2,28.2,17.14K,13.63%
29,15-Jan-91,28.19,30.1,30.25,28.15,7.02K,-3.36%
30,16-Jan-91,30.2,30,30.5,29.65,6.32K,7.13%
31,17-Jan-91,19.7,23,24.2,19.55,43.36K,-34.77%
32,18-Jan-91,18.2,20.5,20.7,17.9,23.44K,-7.61%
33,21-Jan-91,18.97,19.05,19.35,18.9,15.79K,4.23%
34,22-Jan-91,20.5,20,20.7,20,17.22K,8.07%
35,23-Jan-91,20.56,21.5,21.8,20.3,18.24K,0.29%
36,24-Jan-91,20.37,19.85,20.65,19.6,15.75K,-0.92%
37,25-Jan-91,20,20.2,20.5,19.95,117.62K,-1.82%
38,28-Jan-91,19.87,19.85,19.95,19.55,11.22K,-0.65%
39,29-Jan-91,20.47,19.65,20.5,19.47,12.39K,3.02%
40,30-Jan-91,19.61,20.35,20.9,19.6,12.05K,-4.20%
41,31-Jan-91,20.06,20.15,20.35,19.95,10.75K,2.29%
42,1-Feb-91,19.82,20.1,20.45,19.8,11.40K,-1.20%
43,4-Feb-91,19.77,20,20.12,19.55,9.11K,-0.25%
44,5-Feb-91,19.69,20,20.1,19.5,8.00K,-0.40%
45,6-Feb-91,20.16,19.9,20.25,19.75,13.56K,2.39%
46,7-Feb-91,20.18,20.35,20.6,19.85,9.98K,0.10%
47,8-Feb-91,19.98,20.25,20.25,19.9,6.22K,-0.99%
48,11-Feb-91,20.51,20.4,20.67,19.25,14.79K,2.65%
49,12-Feb-91,20.61,20.7,20.9,20.25,13.12K,0.49%
50,13-Feb-91,20.09,20.3,20.4,20,8.05K,-2.52%
51,14-Feb-91,18.79,19.05,19.16,18.78,9.61K,-6.47%
52,15-Feb-91,17.04,18.5,18.7,16.3,29.46K,-9.31%
53,18-Feb-91,16.5,17.05,17.35,16.45,5.75K,-3.17%
54,19-Feb-91,16.79,16.4,17.05,16,14.60K,1.76%
55,20-Feb-91,17.44,16.7,17.55,16.65,12.29K,3.87%
56,21-Feb-91,16.85,17.4,17.65,16.75,13.94K,-3.38%
57,22-Feb-91,16.62,16.5,17.1,16.45,14.67K,-1.36%
58,25-Feb-91,16.89,16.3,16.95,16.15,13.23K,1.62%
59,26-Feb-91,17.23,16.6,17.25,16.5,17.16K,2.01%
60,27-Feb-91,17.93,17.5,18,17.5,17.70K,4.06%
61,28-Feb-91,18.68,18.15,18.7,18.15,14.44K,4.18%
62,1-Mar-91,18.89,18.5,18.9,18.35,7.52K,1.12%
63,4-Mar-91,19.63,18.95,19.65,18.95,10.44K,3.92%
64,5-Mar-91,19.5,19.75,19.75,19.15,9.37K,-0.66%
65,6-Mar-91,19.22,19.7,19.78,19.1,7.44K,-1.44%
66,7-Mar-91,18.89,19.1,19.25,18.7,6.24K,-1.72%
67,8-Mar-91,18.81,18.55,18.85,18.52,7.37K,-0.42%
68,11-Mar-91,18.37,18.35,18.52,18,9.08K,-2.34%
69,12-Mar-91,19.03,18.35,19.05,18.05,10.23K,3.59%
70,13-Mar-91,20.81,19.3,20.9,19.15,8.36K,9.35%
71,14-Mar-91,20.03,20.1,20.1,19.79,3.85K,-3.75%
72,15-Mar-91,17.73,18.2,18.3,17.65,11.99K,-11.48%
73,18-Mar-91,17.53,17.4,17.7,17.4,12.50K,-1.13%
74,19-Mar-91,18.38,17.8,18.44,17.7,10.25K,4.85%
75,20-Mar-91,18.34,18.39,18.57,18.15,9.70K,-0.22%
76,21-Mar-91,18.7,18.3,18.9,18.15,9.40K,1.96%
77,22-Mar-91,18.57,18.7,18.75,18.51,8.79K,-0.70%
78,25-Mar-91,18.25,18.4,18.43,18.22,6.81K,-1.72%
79,26-Mar-91,18.39,18.2,18.42,17.92,13.08K,0.77%
80,27-Mar-91,18.04,18.4,18.4,17.9,10.08K,-1.90%
81,28-Mar-91,17.95,18,18,17.74,14.06K,-0.50%
82,2-Apr-91,17.99,17.88,18.12,17.6,11.70K,0.22%
83,3-Apr-91,18.11,17.9,18.2,17.88,9.92K,0.67%
84,4-Apr-91,18.73,18.01,18.75,18.01,12.49K,3.42%
85,5-Apr-91,18.61,18.65,18.75,18.48,8.32K,-0.64%
86,8-Apr-91,18.81,18.82,19.08,18.7,11.41K,1.07%
87,9-Apr-91,18.81,18.8,18.93,18.75,6.72K,0.00%
88,10-Apr-91,19.41,19,19.54,19,17.85K,3.19%
89,11-Apr-91,19.55,19.5,19.98,19.41,12.89K,0.72%
90,12-Apr-91,20.02,19.68,20.15,19.6,8.97K,2.40%
91,15-Apr-91,20.17,20.21,20.3,19.74,11.50K,0.75%
92,16-Apr-91,19.44,19.65,19.72,19.4,11.87K,-3.62%
93,17-Apr-91,19.52,19.35,19.66,19.35,11.43K,0.41%
94,18-Apr-91,19.02,19.3,19.35,18.95,14.84K,-2.56%
95,19-Apr-91,19.14,19.15,19.17,18.92,11.46K,0.63%
96,22-Apr-91,19.48,19.15,19.65,19.06,2.80K,1.78%
97,23-Apr-91,19.32,19.5,19.93,19.25,15.62K,-0.82%
98,24-Apr-91,19.33,19.35,19.5,19.06,14.62K,0.05%
99,25-Apr-91,19.54,19.4,19.55,19.26,9.15K,1.09%
100,26-Apr-91,19.61,19.33,19.65,19.3,13.34K,0.36%
101,29-Apr-91,19.61,19.65,19.8,19.58,9.43K,0.00%
102,30-Apr-91,19.42,19.74,19.74,19.35,9.82K,-0.97%
